celebrity_name,followers
Ryan Lochte,990000
Calvin Johnson Jr.,515000
Laurie Hernandez,1400000
Amber Rose,23600000
Rick Perry,31000
James Hinchcliffe,144000
Babyface,1600000
Vanilla Ice,600000
Jana Kramer,2100000
Terra Jole,960000
Charo,761000
Mr. T,720000
Heather Morris,980000
Nancy Kerrigan,40000
Bonner Bolton,119000
Simone Biles,12000000
David Ross,401500
Rashad Jennings,208000
Chris Kattan,280000
Erika Jayne,2600000
Normani,6800000
Nick Viall,1400000
Sasha Pieterse,17600000
Frankie Muniz,1600000
Jordan Fisher,4000000
Derek Fisher,250000
Nikki Bella,10400000
Terrell Owens,620000
Victoria Arlen,123000
Barbara Corcoran,1300000
Lindsey Stirling,4200000
Debbie Gibson,490000
Nick Lachey,1000000
Drew Scott,2800000
Vanessa Lachey,1100000
Jamie Anderson,502000
Johnny Damon,115000
Kareem Abdul-Jabbar,1000000
Arike Ogunbowale,300000
Jennie Finch Daigle,518000
Chris Mazdzer,78000
Mirai Nagasu,206000
Tonya Harding,66000
Josh Norman,356000
Adam Rippon,746000
Juan Pablo Di Pace,511000
Evanna Lynch,3800000
Nancy McKeon,140000
John Schneider,117000
Milo Manheim,4100000
Danelle Umstead,114000
Mary Lou Retton,99000
DeMarcus Ware,737000
Nikki Glaser,2500000
Bobby Bones,1300000
Tinashe,4600000
Alexis Ren,16900000
Joe Amabile,933000
Kate Flannery,358000
James Van Der Beek,2000000
Kel Mitchell,"1,500,000"
Ray Lewis,1800000
Lamar Odom,845000
Sailor Brinkley-Cook,203000
Sean Spicer,222000
Mary Wilson,20000
Lauren Alaina,1400000
Ally Brooke,7100000
Karamo Brown,2600000
Hannah Brown,2700000
Anne Heche,117000
Jesse Metcalfe,1100000
Chrishell Stause,4100000
Skai Jackson,9400000
Justina Machado,325000
Charles Oakley,120000
Veron Davis,1100000
Johnny Weir,875000
Nev Schulman,2000000
AJ McLean,1700000
Nelly,4100000
Kaitlyn Bristowe,1800000
Carole Baskin,30000
Monica Aldama,700000
